,Valor,DataFrame
0,Canasto Redondo Calado p/ Ropa Basquet,Proveedores
1,Cepillo de Mano/Ropa LG,Proveedores
2,Cesto Negro c/ Tapa,Proveedores
3,Chifle Pato c/ Pinche,Proveedores
4,Detergente Ala Ultra x 450 cc.,Proveedores
5,Detergente Ala x 750 cc.,Proveedores
6,Esponja Acero Gigante,Proveedores
7,Glade Canasta Solida Full,Proveedores
8,Jabon Dove Liquido x 1 lt.,Proveedores
9,Lysoform Adhesivo x 30 grs.,Proveedores
10,Mirmec x 100 grs.,Proveedores
11,Mirmec x 200 grs.,Proveedores
12,Mr. Musculo Antigrasa x 450 cc.,Proveedores
13,Palangana Quechua x 10 lts.,Proveedores
14,Papel Higienico My Hogar 30 Metros,Proveedores
15,Papel Higienico My Hogar 30 Metros x 4 u.,Proveedores
16,Papel Higienico My Hogar 30 Metros x 6 u.,Proveedores
17,Pato Gel Manual x 500 cc.,Proveedores
18,Raid Tabletas x 1 u.,Proveedores
19,Rejilla Doble,Proveedores
20,Rollo Cocina Elegante 50 Metros x 3 u.,Proveedores
21,Rollo Cocina Elegante Premium x 3 u.,Proveedores
22,Rollo Cocina My Hogar 4 Rollos x 3 u.,Proveedores
23,Rollo Cocina Sussex 50 Metros,Proveedores
24,Rollo Cocina Sussex Clasico x 3 u.,Proveedores
25,Rollo de Cocina Economico 200 Metros,Proveedores
26,Rollo de Cocina Elegante Gigante 200 Metros,Proveedores
27,Rollo de Cocina My Hogar 200 Metros,Proveedores
28,Viruta de Pino,Proveedores
29,Alguicida x 5L,Sistema/Marcas
30,Antihumedad Saphirus,Sistema/Marcas
31,Aparato p/tableta Fuyi,Sistema/Marcas
32,Blem Pisos Plast. y flotan. Almendras 800 cm3,Sistema/Marcas
33,Canasto Redondo Calado p/ Ropa Negro,Sistema/Marcas
34,Cepillo de Mano/RopaCondor,Sistema/Marcas
35,Cesto verde Redondo c/ Tapa,Sistema/Marcas
36,Chifle pastilla c/red,Sistema/Marcas
37,Collar Anitpulgas Ecthol Chico,Sistema/Marcas
38,Collar Anitpulgas Ecthol Gato,Sistema/Marcas
39,Collar Anitpulgas Ecthol Grande,Sistema/Marcas
40,Espirales Raid x 4 u. (caja),Sistema/Marcas
41,Esponja Acero Gigante 30g,Sistema/Marcas
42,Fuyi Tabletas x 4 u.,Sistema/Marcas
43,Jabon Dove Liquido x 1/4 lt.,Sistema/Marcas
44,Lata Recovery Royal Canin,Sistema/Marcas
45,Lysoform Adhesivo x 30 grs. fresh,Sistema/Marcas
46,Mr. Musculo Antigrasa cocina x 450 cc.,Sistema/Marcas
47,Myrmec x 100 grs.,Sistema/Marcas
48,Myrmec x 200 grs.,Sistema/Marcas
49,Palangana Quechua x 14 lts.,Sistema/Marcas
50,Papel Higienico My Hogar Blanco x30 Metros x4 u.,Sistema/Marcas
51,Papel Higienico My Hogar Blanco x30 Metros x6 u.,Sistema/Marcas
52,Pato Canasta Solida Full,Sistema/Marcas
53,Pato Canasta activa 38.6 grs,Sistema/Marcas
54,Pato Pastilla c/red 25 gr,Sistema/Marcas
55,Pato desinf. inodoro q. sarro x 500 cc.,Sistema/Marcas
56,Pouch Royal Kitten,Sistema/Marcas
57,Pouch Royal canin Mini Ad,Sistema/Marcas
58,Pouch Royal canin Mini Jr,Sistema/Marcas
59,Pouch Royal canin Weight Care,Sistema/Marcas
60,Quitamanchas Oxi x400 ML,Sistema/Marcas
61,Raid Mata Moscas/Mosquitos Aero sin olor,Sistema/Marcas
62,Raid Tabletas x 4 u.,Sistema/Marcas
63,Rejilla  Pabilo Doble,Sistema/Marcas
64,Repelente Off aero Family 170 ml,Sistema/Marcas
65,Rollo Cocina Dichax 3 u.,Sistema/Marcas
66,Sabrositos ad RP x 15 kg,Sistema/Marcas
67,Vital complete senior,Sistema/Marcas
68,Vital complete senior x 20 kg,Sistema/Marcas
69,lavamotor x 1L,Sistema/Marcas
